xnf,xf,ynf,yf,znf,zf
620,33.95,87.36,87.66
86.26,86.53,27.40,33.94,88.06,87.66
84.24,84.24,8.65,8.65,89.12,89.12
85.85,85.05,2.54,6.10,89.82,89.47
83.06,84.39,5.87,6.00,89.28,89.41
82.85,84.01,354.05,2.50,90.75,89.74
84.03,84.02,6.80,3.37,89.28,89.65
85.34,84.24,22.29,6.14,88.09,89.38
88.86,84.93,71.36,11.53,86.62,88.96
92.79,85.99,119.30,21.30,85.03,88.43
88.40,86.26,66.57,25.78,86.31,88.19
86.63,86.30,30.44,26.22,88.02,88.17
86.49,86.31,16.43,25.42,88.96,88.25
84.35,86.15,9.27,23.60,89.08,88.32
88.32,86.32,65.21,26.51,86.36,88.16
87.53,86.41,45.19,27.66,87.51,88.12
87.50,86.48,51.17,29.18,86.90,88.03
87.66,86.56,39.42,29.67,88.07,88.04
88.86,86.69,72.39,31.92,86.41,87.94
88.20,86.78,48.49,32.57,87.97,87.94
89.49,86.92,77.65,33.96,87.65,87.92
86.22,86.89,28.76,33.66,87.92,87.92
87.53,86.92,45.16,34.18,87.52,87.91
87.35,86.94,57.52,35.55,85.85,87.81
90.48,87.09,96.70,38.01,85.93,87.73
89.76,87.21,84.45,39.21,87.54,87.72
87.24,87.21,41.15,39.29,87.59,87.71
86.37,87.17,32.32,38.98,87.70,87.71
86.79,87.16,39.54,39.00,87.35,87.70
85.37,87.09,29.55,38.51,87.37,87.69
86.49,87.07,43.93,38.75,86.62,87.65
90.85,87.20,105.75,40.26,87.00,87.63
91.97,87.35,133.51,41.76,87.92,87.64
96.09,87.63,149.36,45.35,86.39,87.60
99.88,88.00,165.91,50.31,87.50,87.60
102.20,88.43,167.64,56.91,87.29,87.59
47.35,87.10,330.56,28.54,117.47,88.42
84.17,87.01,331.72,25.78,93.14,88.56
86.73,87.01,23.61,25.72,88.57,88.56
88.66,87.05,54.98,26.26,88.09,88.54
88.01,87.08,46.23,26.71,87.92,88.53
87.35,87.08,40.51,27.09,87.73,88.51
89.39,87.14,76.70,27.96,87.43,88.48
88.35,87.17,58.10,28.65,87.34,88.45
88.66,87.21,64.46,29.42,87.20,88.42
89.20,87.25,75.29,30.37,86.95,88.39
87.72,87.26,53.86,30.99,86.88,88.35
87.59,87.27,44.83,31.32,87.60,88.34
87.08,87.27,36.65,31.45,87.83,88.33
88.81,87.30,50.04,31.68,88.58,88.33
89.66,87.35,286.63,31.22,91.14,88.39
92.33,87.46,128.49,32.76,87.07,88.36
87.31,87.46,64.23,34.00,84.44,88.28
82.66,87.37,27.47,33.68,86.17,88.24
87.21,87.36,349.09,32.97,90.54,88.29
86.99,87.35,339.35,32.03,91.14,88.34
86.69,87.34,14.99,31.69,89.11,88.36
82.64,87.26,24.08,31.36,86.70,88.33
83.43,87.19,8.82,30.57,88.98,88.34
85.81,87.17,14.05,30.19,88.95,88.35
85.05,87.13,15.28,29.80,88.65,88.36
85.65,87.11,13.65,29.42,88.94,88.37
86.35,87.09,23.54,29.31,88.41,88.37
87.20,87.10,46.69,29.66,87.04,88.34
81.21,87.00,17.48,29.15,87.21,88.33
81.89,86.92,5.47,28.32,89.22,88.34
86.39,86.92,6.79,27.98,89.57,88.36
88.47,86.94,55.69,28.31,87.76,88.35
86.93,86.94,39.77,28.51,87.44,88.34
89.26,86.98,79.44,29.31,86.05,88.30
89.91,87.02,87.54,29.77,87.82,88.29
87.07,87.02,41.72,29.97,87.39,88.28
90.82,87.08,107.97,30.62,87.46,88.27
89.78,87.12,86.95,31.48,85.79,88.23
87.59,87.12,50.86,31.78,87.04,88.22
87.94,87.13,64.18,32.39,85.75,88.18
89.00,87.16,49.94,32.50,88.81,88.19
88.95,87.18,68.40,32.89,87.34,88.18
88.69,87.20,66.21,33.31,87.02,88.16
88.20,87.22,60.01,33.68,86.88,88.15
88.26,87.23,48.80,33.83,88.01,88.14
88.93,87.25,64.93,34.13,87.71,88.14
88.62,87.27,58.43,34.37,87.76,88.13
89.47,87.30,82.22,35.01,86.11,88.11
87.30,87.30,57.41,35.43,85.78,88.08
87.93,87.31,47.13,35.56,87.77,88.07
86.47,87.30,19.80,35.35,88.73,88.08
84.96,87.27,28.46,35.20,87.26,88.07
91.59,87.32,115.01,35.98,86.60,88.05
93.47,87.39,134.62,37.00,86.49,88.04
94.32,87.47,142.47,38.09,86.68,88.02
91.73,87.52,118.75,38.83,86.85,88.01
86.82,87.51,47.83,38.98,86.49,87.99
87.99,87.52,62.96,39.35,86.06,87.97
90.73,87.56,102.09,39.97,86.61,87.95
89.56,87.58,79.93,40.30,87.51,87.95
88.60,87.59,65.49,40.59,86.93,87.93
89.76,87.61,86.00,41.07,86.62,87.92
87.83,87.62,55.15,41.25,86.88,87.91
89.75,87.64,86.53,41.83,85.89,87.89
90.96,87.67,101.82,42.63,85.41,87.86
89.66,87.70,83.72,43.02,86.95,87.85
86.99,87.69,21.96,42.80,88.79,87.86
84.90,87.66,15.96,42.36,88.54,87.87
84.73,87.63,10.90,41.84,88.98,87.88
88.35,87.64,56.41,41.99,87.51,87.87
81.07,87.57,353.01,40.81,91.10,87.91
